quant_level,category,detail,count
F16,reasoning,numeric_mismatch,6
F16,instruction_following,format_ok_content_wrong,5
F16,information_extraction,values_missing:attendee,2
F16,reasoning,day_mismatch_or_missing,2
F16,summarization,token_f1=0.36,2
F16,summarization,token_f1=0.52,2
F16,information_extraction,values_missing:address,1
F16,information_extraction,values_missing:date,1
F16,information_extraction,"values_missing:doctor,hours",1
F16,information_extraction,values_missing:end_date,1
F16,information_extraction,values_missing:hours,1
F16,information_extraction,"values_missing:invoice_number,customer,date,total",1
F16,information_extraction,values_missing:name,1
F16,information_extraction,"values_missing:order_number,carrier,eta_days",1
F16,information_extraction,values_missing:price,1
F16,information_extraction,"values_missing:start_date,end_date",1
F16,instruction_following,content_and_format_wrong,1
F16,structured_output,"fields_wrong:prezzo,disponibile",1
F16,structured_output,"fields_wrong:price,in_stock",1
F16,summarization,token_f1=0.17,1
F16,summarization,token_f1=0.19,1
F16,summarization,token_f1=0.28,1
F16,summarization,token_f1=0.39,1
F16,summarization,token_f1=0.41,1
F16,summarization,token_f1=0.45,1
F16,summarization,token_f1=0.49,1
F16,summarization,token_f1=0.51,1
F16,summarization,token_f1=0.53,1
F16,summarization,token_f1=0.58,1
F16,summarization,token_f1=0.62,1
F16,summarization,token_f1=0.63,1
Q8_0,instruction_following,format_ok_content_wrong,5
Q8_0,reasoning,numeric_mismatch,5
Q8_0,information_extraction,values_missing:attendee,2
Q8_0,reasoning,day_mismatch_or_missing,2
Q8_0,summarization,token_f1=0.52,2
Q8_0,summarization,token_f1=0.58,2
Q8_0,information_extraction,values_missing:address,1
Q8_0,information_extraction,values_missing:date,1
Q8_0,information_extraction,"values_missing:doctor,hours",1
Q8_0,information_extraction,values_missing:end_date,1
Q8_0,information_extraction,values_missing:hours,1
Q8_0,information_extraction,"values_missing:invoice_number,customer,date,total",1
Q8_0,information_extraction,values_missing:name,1
Q8_0,information_extraction,"values_missing:order_number,carrier,eta_days",1
Q8_0,information_extraction,values_missing:price,1
Q8_0,information_extraction,"values_missing:start_date,end_date",1
Q8_0,instruction_following,content_and_format_wrong,1
Q8_0,structured_output,"fields_wrong:prezzo,disponibile",1
Q8_0,structured_output,"fields_wrong:price,in_stock",1
Q8_0,summarization,token_f1=0.17,1
Q8_0,summarization,token_f1=0.19,1
Q8_0,summarization,token_f1=0.28,1
Q8_0,summarization,token_f1=0.36,1
Q8_0,summarization,token_f1=0.41,1
Q8_0,summarization,token_f1=0.44,1
Q8_0,summarization,token_f1=0.45,1
Q8_0,summarization,token_f1=0.51,1
Q8_0,summarization,token_f1=0.53,1
Q8_0,summarization,token_f1=0.56,1
Q8_0,summarization,token_f1=0.62,1
Q8_0,summarization,token_f1=0.64,1
Q6_K,instruction_following,format_ok_content_wrong,5
Q6_K,reasoning,numeric_mismatch,5
Q6_K,information_extraction,values_missing:end_date,2
Q6_K,reasoning,day_mismatch_or_missing,2
Q6_K,summarization,token_f1=0.38,2
Q6_K,summarization,token_f1=0.47,2
Q6_K,information_extraction,values_missing:attendee,1
Q6_K,information_extraction,values_missing:date,1
Q6_K,information_extraction,"values_missing:date,total",1
Q6_K,information_extraction,"values_missing:doctor,hours",1
Q6_K,information_extraction,values_missing:hours,1
Q6_K,information_extraction,values_missing:name,1
Q6_K,information_extraction,values_missing:price,1
Q6_K,instruction_following,content_and_format_wrong,1
Q6_K,structured_output,"fields_wrong:prezzo,disponibile",1
Q6_K,structured_output,"fields_wrong:price,in_stock",1
Q6_K,summarization,token_f1=0.03,1
Q6_K,summarization,token_f1=0.27,1
Q6_K,summarization,token_f1=0.30,1
Q6_K,summarization,token_f1=0.33,1
Q6_K,summarization,token_f1=0.36,1
Q6_K,summarization,token_f1=0.37,1
Q6_K,summarization,token_f1=0.41,1
Q6_K,summarization,token_f1=0.42,1
Q6_K,summarization,token_f1=0.51,1
Q6_K,summarization,token_f1=0.52,1
Q6_K,summarization,token_f1=0.62,1
Q6_K,summarization,token_f1=0.63,1
Q5_K_M,reasoning,numeric_mismatch,7
Q5_K_M,instruction_following,format_ok_content_wrong,4
Q5_K_M,information_extraction,values_missing:attendee,2
Q5_K_M,reasoning,day_mismatch_or_missing,2
Q5_K_M,summarization,token_f1=0.36,2
Q5_K_M,information_extraction,values_missing:date,1
Q5_K_M,information_extraction,"values_missing:date,total",1
Q5_K_M,information_extraction,"values_missing:doctor,hours",1
Q5_K_M,information_extraction,values_missing:end_date,1
Q5_K_M,information_extraction,values_missing:hours,1
Q5_K_M,information_extraction,values_missing:name,1
Q5_K_M,information_extraction,values_missing:price,1
Q5_K_M,information_extraction,"values_missing:start_date,end_date",1
Q5_K_M,instruction_following,content_and_format_wrong,1
Q5_K_M,structured_output,"fields_wrong:prezzo,disponibile",1
Q5_K_M,structured_output,"fields_wrong:price,in_stock",1
Q5_K_M,summarization,token_f1=0.04,1
Q5_K_M,summarization,token_f1=0.14,1
Q5_K_M,summarization,token_f1=0.15,1
Q5_K_M,summarization,token_f1=0.27,1
Q5_K_M,summarization,token_f1=0.34,1
Q5_K_M,summarization,token_f1=0.37,1
Q5_K_M,summarization,token_f1=0.45,1
Q5_K_M,summarization,token_f1=0.50,1
Q5_K_M,summarization,token_f1=0.51,1
Q5_K_M,summarization,token_f1=0.52,1
Q5_K_M,summarization,token_f1=0.56,1
Q5_K_M,summarization,token_f1=0.58,1
Q5_K_M,summarization,token_f1=0.62,1
Q5_K_M,summarization,token_f1=0.66,1
