model,category,mean,std,count
Qwen2.5-0.5B-Instruct,classification,0.8125,0.40311288741492746,16
Qwen2.5-0.5B-Instruct,information_extraction,0.54166875,0.3367081935816234,16
Qwen2.5-0.5B-Instruct,instruction_following,0.6388888888888888,0.4791400248348,18
Qwen2.5-0.5B-Instruct,reasoning,0.3333333333333333,0.48507125007266594,18
Qwen2.5-0.5B-Instruct,structured_output,0.83333125,0.3220363451925885,16
Qwen2.5-0.5B-Instruct,summarization,0.43616875,0.10089404818091768,16
Qwen2.5-1.5B-Instruct,classification,1.0,0.0,16
Qwen2.5-1.5B-Instruct,information_extraction,0.70833125,0.250933443283938,16
Qwen2.5-1.5B-Instruct,instruction_following,0.7222222222222222,0.4608885989624768,18
Qwen2.5-1.5B-Instruct,reasoning,0.6111111111111112,0.5016313257045503,18
Qwen2.5-1.5B-Instruct,structured_output,0.8541624999999999,0.3213181764233079,16
Qwen2.5-1.5B-Instruct,summarization,0.27528125000000003,0.21758793844864963,16
Llama-3.2-1B-Instruct,classification,0.6875,0.478713553878169,16
Llama-3.2-1B-Instruct,information_extraction,0.691675,0.23150298054236795,16
Llama-3.2-1B-Instruct,instruction_following,0.3888888888888889,0.5016313257045503,18
Llama-3.2-1B-Instruct,reasoning,0.4444444444444444,0.5113099925649136,18
Llama-3.2-1B-Instruct,structured_output,0.91666875,0.25819673821526096,16
Llama-3.2-1B-Instruct,summarization,0.44153125,0.09459762307619926,16
Gemma-2-2B-it,classification,0.9375,0.24999999999999997,16
Gemma-2-2B-it,information_extraction,0.75,0.27217097077633634,16
Gemma-2-2B-it,instruction_following,0.7777777777777778,0.4277926319464986,18
Gemma-2-2B-it,reasoning,0.5555555555555556,0.5113099925649136,18
Gemma-2-2B-it,structured_output,1.0,0.0,16
Gemma-2-2B-it,summarization,0.474175,0.15900949447543483,16
Phi-3.5-mini-instruct,classification,0.9375,0.24999999999999997,16
Phi-3.5-mini-instruct,information_extraction,0.90104375,0.18563610628951824,16
Phi-3.5-mini-instruct,instruction_following,0.6666666666666666,0.48507125007266594,18
Phi-3.5-mini-instruct,reasoning,0.7777777777777778,0.42779263194649864,18
Phi-3.5-mini-instruct,structured_output,0.8958375000000001,0.26439623768125,16
Phi-3.5-mini-instruct,summarization,0.48064375,0.12573060072366365,16
