model,language,mean,std,count
Qwen2.5-0.5B-Instruct,en,0.6659860000000001,0.40107859833815357,50
Qwen2.5-0.5B-Instruct,it,0.523588,0.4223813194694277,50
Qwen2.5-1.5B-Instruct,en,0.786606,0.3234256539557966,50
Qwen2.5-1.5B-Instruct,it,0.6014820000000001,0.45096230110323693,50
Llama-3.2-1B-Instruct,en,0.6612739999999999,0.39914291482257486,50
Llama-3.2-1B-Instruct,it,0.514686,0.43426604890155923,50
Gemma-2-2B-it,en,0.795406,0.33198120761296596,50
Gemma-2-2B-it,it,0.69633,0.3992394163038166,50
Phi-3.5-mini-instruct,en,0.77179,0.36476680739276457,50
Phi-3.5-mini-instruct,it,0.7770180000000001,0.34519615464195397,50
