target_prompt_tokens,actual_prompt_tokens,run,generated_tokens,ttft_s,decode_time_s,total_time_s,decode_tokens_per_s,overall_tokens_per_s
32,32,1,64,1.3045,7.0034,8.3079,9.0,7.7
32,32,2,64,0.2277,6.9508,7.1786,9.06,8.92
32,32,3,64,0.2253,7.5482,7.7735,8.35,8.23
32,32,4,64,0.3377,11.9777,12.3153,5.26,5.2
32,32,5,64,0.5797,26.6193,27.1991,2.37,2.35
128,127,1,64,0.9553,9.8752,10.8306,6.38,5.91
128,127,2,64,0.9993,11.6739,12.6732,5.4,5.05
128,127,3,64,1.2166,16.7472,17.9638,3.76,3.56
128,127,4,64,0.8912,11.8775,12.7687,5.3,5.01
128,127,5,64,1.1933,11.8079,13.0011,5.34,4.92
512,505,1,64,7.2729,35.5676,42.8405,1.77,1.49
512,505,2,64,3.815,13.7923,17.6072,4.57,3.63
512,505,3,64,4.7669,20.9896,25.7566,3.0,2.48
512,505,4,64,2.6695,9.4891,12.1586,6.64,5.26
512,505,5,64,2.1585,7.5926,9.7511,8.3,6.56
1024,1010,1,64,4.1954,8.0981,12.2936,7.78,5.21
1024,1010,2,64,4.3485,7.6714,12.0199,8.21,5.32
1024,1010,3,64,3.8174,7.2628,11.0801,8.67,5.78
1024,1010,4,64,3.8079,7.1851,10.993,8.77,5.82
1024,1010,5,64,3.7481,7.1338,10.8819,8.83,5.88
2048,2020,1,64,7.5652,7.7316,15.2968,8.15,4.18
2048,2020,2,64,7.5124,7.6813,15.1937,8.2,4.21
2048,2020,3,64,7.2177,7.6938,14.9115,8.19,4.29
2048,2020,4,64,8.2676,8.0855,16.3531,7.79,3.91
2048,2020,5,64,8.2099,8.0977,16.3076,7.78,3.92
