requested_output_tokens,run,prompt_tokens,generated_tokens,ttft_s,decode_time_s,total_time_s,decode_tokens_per_s,overall_tokens_per_s
16,1,27,16,1.2006,1.4931,2.6937,10.05,5.94
16,2,27,16,0.2,1.4496,1.6496,10.35,9.7
16,3,27,16,0.208,1.8388,2.0467,8.16,7.82
16,4,27,16,0.2956,1.6228,1.9184,9.24,8.34
16,5,27,16,0.3097,1.627,1.9367,9.22,8.26
64,1,27,64,0.3064,6.8883,7.1947,9.15,8.9
64,2,27,64,0.325,6.92,7.245,9.1,8.83
64,3,27,64,0.2904,6.3605,6.6509,9.9,9.62
64,4,27,64,0.2869,6.4036,6.6905,9.84,9.57
64,5,27,64,0.3042,6.3828,6.687,9.87,9.57
256,1,27,256,0.2976,28.8327,29.1303,8.84,8.79
256,2,27,256,0.3328,32.4816,32.8144,7.85,7.8
256,3,27,256,0.3192,27.7154,28.0347,9.2,9.13
256,4,27,256,0.3126,27.9956,28.3082,9.11,9.04
256,5,27,256,0.3415,30.9138,31.2553,8.25,8.19
512,1,27,512,0.3066,54.6455,54.9521,9.35,9.32
512,2,27,512,0.3103,54.9267,55.237,9.3,9.27
512,3,27,512,0.319,55.6623,55.9813,9.18,9.15
512,4,27,512,0.3096,55.1964,55.5061,9.26,9.22
512,5,27,512,0.3162,55.1176,55.4338,9.27,9.24
