engine,run,prompt_tokens,generated_tokens,load_time_s,ttft_s,decode_time_s,total_time_s,decode_tokens_per_s,peak_rss_mb
llama.cpp,1,56,64,2.5267,0.3501,3.8423,4.1924,16.66,3770.4
llama.cpp,2,56,64,0.6461,0.3525,3.935,4.2875,16.26,3763.2
llama.cpp,3,56,64,0.6542,0.3459,4.7892,5.1351,13.36,3764.7
llama.cpp,4,56,64,0.6505,0.4839,4.4195,4.9034,14.48,3777.2
llama.cpp,5,56,64,0.6503,0.37,2.8571,3.2271,22.4,3776.3
llama.cpp,6,56,64,0.6487,0.3532,3.9384,4.2916,16.25,3762.8
llama.cpp,7,56,64,0.6533,0.399,3.1445,3.5435,20.35,3757.9
llama.cpp,8,56,64,0.6446,0.3694,3.0294,3.3988,21.13,3775.1
llama.cpp,9,56,64,0.6611,0.3619,4.2139,4.5758,15.19,3763.1
llama.cpp,10,56,64,0.6569,0.3538,2.6946,3.0484,23.75,3777.0
python,1,56,64,4.6421,1.2899,6.0233,11.9553,10.46,6093.8
python,2,56,64,3.2317,1.2097,6.0105,10.4519,10.48,8820.4
python,3,56,64,3.1416,1.1727,6.0129,10.3271,10.48,9006.8
python,4,56,64,3.0817,1.2133,5.9991,10.294,10.5,9136.7
python,5,56,64,2.9896,1.2271,6.0211,10.2378,10.46,8928.5
python,6,56,64,3.2013,1.1832,6.0003,10.3849,10.5,9011.2
python,7,56,64,3.0303,1.1895,6.0293,10.2491,10.45,9140.5
python,8,56,64,2.9842,1.178,6.0481,10.2104,10.42,9106.8
python,9,56,64,2.9536,1.1982,6.01,10.1617,10.48,9195.8
python,10,56,64,2.9647,1.17,5.9725,10.1072,10.55,8950.0
