build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-11T13:45:13Z","1594818883","2083479","321.040028","0.419349"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-11T13:45:22Z","6181379983","30053958","20.707742","0.100662"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-11T13:45:53Z","1317828616","8509084","388.530768","2.492261"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-11T13:46:01Z","5771510416","68543466","22.180428","0.265776"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-11T13:46:30Z","1540016625","10411676","332.476099","2.247588"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-11T13:46:40Z","6424930516","774733956","20.147839","2.344121"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-11T13:47:12Z","2827921408","40770584","181.081455","2.579360"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-11T13:47:29Z","11574741641","489391978","11.074776","0.479710"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-11T13:48:27Z","3104920458","40513069","164.921813","2.132554"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-11T13:48:46Z","12577477699","695740150","10.200846","0.541158"
