run,test_type,tokens_per_s,avg_ns
1,pp,292.495,1750457584
1,tg,20.558,6226404416
2,pp,290.105,1764875667
2,tg,14.335,8929201292
3,pp,278.074,1841238958
3,tg,15.369,8328344625
4,pp,256.455,1996453625
4,tg,18.431,6944643208
5,pp,253.508,2019662334
5,tg,13.403,9550063500
6,pp,248.943,2056697542
6,tg,15.226,8406925667
7,pp,247.102,2072018125
7,tg,20.821,6147616417
8,pp,236.488,2165017333
8,tg,18.218,7026157167
9,pp,230.245,2223714459
9,tg,12.951,9883623750
10,pp,221.989,2306424333
10,tg,10.976,11662130750
11,pp,195.437,2619775750
11,tg,9.19,13928865875
12,pp,169.414,3022185750
12,tg,6.932,18466374750
13,pp,152.032,3367703625
13,tg,2.717,47103207958
14,pp,165.872,3086721875
14,tg,7.788,16434974791
15,pp,167.097,3064094958
15,tg,9.72,13169059375
16,pp,169.565,3019484208
16,tg,8.444,15158006167
17,pp,160.215,3195713167
17,tg,9.71,13182013667
18,pp,167.554,3055725458
18,tg,10.164,12593537167
19,pp,173.728,2947138334
19,tg,10.282,12448953875
20,pp,165.125,3100683375
20,tg,10.161,12596954500
21,pp,169.629,3018351916
21,tg,9.446,13550980709
22,pp,168.177,3044402583
22,tg,7.372,17363171166
23,pp,141.479,3618911333
23,tg,8.239,15535830083
24,pp,174.23,2938644250
24,tg,8.076,15849415917
25,pp,173.159,2956822125
25,tg,9.104,14060146333
