build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:17:41Z","1695402141","75221707","302.461085","13.188133"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","1","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:17:52Z","6736066716","168804867","19.011788","0.478963"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:18:25Z","1330473208","17491247","384.878950","5.083559"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","2","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:18:33Z","5699632050","42624668","22.458596","0.168168"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","3","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:19:02Z","1347745216","32193656","380.067159","9.074799"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","3","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:19:10Z","5706983675","35254856","22.429346","0.138587"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:19:39Z","1469419299","18126567","348.479097","4.269515"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","4","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:19:47Z","5757088033","66125836","22.235826","0.257255"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","5","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:20:16Z","2223735958","52281702","230.345150","5.422840"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","5","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:20:30Z","6780138758","321752707","18.914311","0.939324"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","6","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:21:04Z","2351907233","27544006","217.719596","2.554710"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","6","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:21:18Z","8036077308","51995515","15.928702","0.102988"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:21:58Z","2625322683","33600798","195.049293","2.504985"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:22:14Z","8955150483","77805039","14.294311","0.123793"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-07-12T06:22:59Z","2869600075","26134838","178.433964","1.631888"
"c92e806","1","Accelerate, Apple M4","","BLAS","/Users/alessandro/Github/efficient-ai-lab/models/gguf/qwen2.5-1.5b-instruct-fp16.gguf","qwen2 1.5B F16","3554465792","1777088000","2048","512","10","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-07-12T06:23:17Z","13508835216","432515473","9.482868","0.296326"
