target_prompt_tokens,actual_prompt_tokens,run,load_time_s,ttft_s,decode_time_s,total_time_s,decode_tokens_per_s,peak_rss_mb
128,156,1,1.3151,0.5438,2.8428,3.3867,22.51,3640.4
128,156,2,0.9074,0.577,3.0056,3.5827,21.29,3760.6
128,156,3,0.892,0.574,2.8707,3.4447,21.6,3779.0
128,156,4,0.9021,0.5615,2.9248,3.4864,21.88,3765.7
128,156,5,0.6935,0.579,2.9465,3.5254,21.72,3765.6
512,534,1,0.6901,1.953,3.2256,5.1785,19.84,3820.7
512,534,2,0.6929,1.8942,3.201,5.0952,19.99,3812.7
512,534,3,0.6972,2.0015,3.2349,5.2364,19.78,3823.8
512,534,4,0.6951,1.9708,3.2432,5.214,19.73,3814.8
512,534,5,0.6952,1.9929,3.3113,5.3042,19.33,3815.1
1024,1039,1,0.6937,3.831,3.4283,7.2593,18.67,3817.8
1024,1039,2,0.6963,3.9391,3.4801,7.4192,18.39,3816.1
1024,1039,3,0.6966,4.0617,3.3305,7.3922,18.02,3824.5
1024,1039,4,0.9152,4.1148,3.5883,7.7031,17.84,3821.6
1024,1039,5,0.9179,4.1501,3.6773,7.8274,17.4,3826.5
2048,2049,1,0.9084,9.4621,4.0787,13.5408,15.69,3819.1
2048,2049,2,0.9146,9.6659,2.5924,12.2583,15.82,3816.1
2048,2049,3,0.9218,9.6839,4.2827,13.9666,14.94,3816.1
2048,2049,4,0.9176,9.8573,0.5671,10.4244,17.63,3822.4
2048,2049,5,0.6954,9.813,4.1599,13.973,15.38,3824.5
4096,4068,1,0.9158,26.5434,4.3541,30.8975,13.78,3822.8
4096,4068,2,0.9193,26.208,4.6156,30.8236,13.87,3836.0
4096,4068,3,0.921,26.1638,4.7832,30.947,13.38,3823.1
4096,4068,4,0.9155,26.5284,4.7443,31.2727,13.49,3825.9
4096,4068,5,0.9159,26.5438,4.7504,31.2942,13.47,3836.0
