background_hogs,run,test_type,tokens_per_s
0,1,pp,367.223
0,1,tg,20.13
0,2,pp,280.946
0,2,tg,20.875
0,3,pp,274.252
0,3,tg,20.891
0,4,pp,281.456
0,4,tg,20.65
0,5,pp,280.233
0,5,tg,20.229
2,1,pp,226.259
2,1,tg,17.39
2,2,pp,211.686
2,2,tg,16.737
2,3,pp,205.703
2,3,tg,15.969
2,4,pp,201.566
2,4,tg,15.363
2,5,pp,194.817
2,5,tg,14.886
4,1,pp,182.762
4,1,tg,13.801
4,2,pp,168.868
4,2,tg,13.519
4,3,pp,171.528
4,3,tg,13.427
4,4,pp,164.376
4,4,tg,12.229
4,5,pp,160.284
4,5,tg,12.68
8,1,pp,170.963
8,1,tg,11.751
8,2,pp,169.663
8,2,tg,11.879
8,3,pp,169.894
8,3,tg,11.723
8,4,pp,170.754
8,4,tg,11.786
8,5,pp,169.164
8,5,tg,8.268
