run,elapsed_s,test_type,tokens_per_s
1,10.2,pp,286.021
1,10.2,tg,15.794
2,23.1,pp,227.496
2,23.1,tg,12.699
3,36.3,pp,159.891
3,36.3,tg,13.806
4,50.5,pp,229.443
4,50.5,tg,11.201
5,63.2,pp,164.184
5,63.2,tg,14.253
6,74.0,pp,239.496
6,74.0,tg,15.954
7,88.0,pp,126.084
7,88.0,tg,14.903
8,98.7,pp,226.421
8,98.7,tg,16.393
9,109.5,pp,243.412
9,109.5,tg,15.583
10,121.3,pp,236.711
10,121.3,tg,14.06
11,132.9,pp,223.561
11,132.9,tg,14.598
12,145.5,pp,242.505
12,145.5,tg,12.916
13,157.3,pp,197.734
13,157.3,tg,15.247
14,168.1,pp,239.748
14,168.1,tg,15.768
15,178.1,pp,247.395
15,178.1,tg,17.118
16,188.5,pp,237.74
16,188.5,tg,16.437
17,198.6,pp,243.61
17,198.6,tg,17.219
18,208.5,pp,244.09
18,208.5,tg,17.413
19,218.5,pp,243.186
19,218.5,tg,17.239
20,228.7,pp,243.021
20,228.7,tg,16.881
21,238.7,pp,245.18
21,238.7,tg,17.228
22,248.8,pp,237.343
22,248.8,tg,17.325
23,259.0,pp,244.246
23,259.0,tg,16.714
24,269.3,pp,246.527
24,269.3,tg,16.55
25,279.4,pp,241.28
25,279.4,tg,17.19
26,289.5,pp,244.487
26,289.5,tg,17.077
27,299.4,pp,244.535
27,299.4,tg,17.344
28,309.6,pp,244.847
28,309.6,tg,17.05
29,319.8,pp,243.265
29,319.8,tg,16.841
30,332.7,pp,208.387
30,332.7,tg,12.87
